,Unnamed: 0,is_potentially_hazardous_asteroid
989,20274,0
990,15650,0
991,8432,1
992,20323,0
993,7678,0
994,8513,0
995,7295,0
996,12651,0
997,5921,0
998,4995,0
999,13609,0
1000,6430,0
1001,3180,0
1002,18306,1
1003,23303,0
1004,23778,0
1005,16549,0
1006,5575,0
1007,2865,1
1008,23084,0
1009,16265,0
1010,1755,0
1011,11829,0
1012,19321,0
1013,13399,1
1014,10342,0
1015,17843,0
1016,16992,0
1017,20645,0
1018,21287,0
1019,7511,0
1020,15846,0
1021,23137,0
1022,20706,0
1023,22156,0
1024,21294,0
1025,19936,0
1026,7358,0
1027,6412,0
1028,17185,0
1029,22510,0
1030,14348,0
1031,7693,0
1032,6386,0
1033,17491,0
1034,7104,0
1035,15019,0
1036,17135,0
1037,17246,0
1038,4547,0
1039,18942,0
1040,19025,0
1041,7180,0
1042,17175,0
1043,12532,1
1044,3598,1
1045,11487,0
1046,20468,0
1047,12978,0
1048,3723,0
1049,19226,0
1050,10969,0
1051,10620,0
1052,15439,0
1053,17397,0
1054,15673,0
1055,15729,0
1056,15648,0
1057,7757,0
1058,3419,1
1059,16936,0
1060,8565,0
1061,13517,0
1062,13552,0
1063,16185,0
1064,17031,0
1065,911,0
1066,18934,0
1067,11011,0
1068,3087,0
1069,12886,0
1070,973,0
1071,5713,0
1072,16078,0
1073,10329,1
1074,11527,0
1075,9582,0
1076,4708,1
1077,5594,0
1078,6667,1
1079,13372,0
1080,19380,0
1081,1900,0
1082,10167,0
1083,3499,1
1084,16123,0
1085,6147,0
1086,766,0
1087,3411,0
1088,23745,0
1089,1789,1
1090,11443,0
1091,6447,0
1092,7543,0
1093,10450,0
1094,267,1
1095,1336,0
1096,3023,0
1097,21290,0
1098,21080,0
1099,4057,0
1100,12250,0
1101,15342,0
1102,21949,0
1103,12512,0
1104,10487,0
1105,23605,0
1106,14917,0
1107,20938,0
1108,19334,0
1109,18156,0
1110,4225,0
1111,10327,1
1112,79,0
1113,791,0
1114,15395,0
1115,12150,0
1116,20435,0
1117,4084,0
1118,3806,0
1119,12849,0
1120,15383,0
1121,7968,0
1122,1434,0
1123,8787,0
1124,17050,0
1125,12576,0
1126,9734,0
1127,22405,0
1128,19114,0
1129,11069,0
1130,19481,0
1131,6035,0
1132,7174,0
1133,3026,0
1134,19893,0
1135,23262,0
1136,16335,0
1137,21703,0
1138,11096,0
1139,12944,0
1140,1833,1
1141,22053,1
1142,22688,0
1143,16950,0
1144,8644,0
1145,19461,0
1146,22914,0
1147,14154,0
1148,15080,0
1149,20557,0
1150,8844,0
1151,19918,0
1152,2640,0
1153,19931,0
1154,1255,0
1155,2472,0
1156,8056,0
1157,45,0
1158,2460,0
1159,4745,0
1160,8811,0
1161,21922,0
1162,16615,0
1163,18771,0
1164,10671,0
1165,7958,0
1166,2194,0
1167,689,1
1168,12118,0
1169,21531,0
1170,15140,0
1171,3590,0
1172,22447,0
1173,19259,0
1174,18919,0
1175,23320,0
1176,16970,0
1177,15236,0
1178,16167,0
1179,10900,0
1180,12221,1
1181,20474,1
1182,22721,0
1183,19548,0
1184,21011,0
1185,5718,0
1186,16998,0
1187,15654,0
1188,9610,0
1189,4273,0
1190,5855,0
1191,13371,0
1192,18448,0
1193,18822,0
1194,15145,0
1195,16493,0
1196,19783,0
1197,2810,0
1198,23406,1
1199,14945,0
1200,4405,0
1201,10926,1
1202,23671,0
1203,16013,0
1204,22283,0
1205,4801,0
1206,22829,0
