,Unnamed: 0,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,volume (m^3)
90,90,2006037,6037 (1988 EG),-0.6389672834834171,True,0,1.5446091716732978e-36,110,1,1.6475221141807945,0.0446489165909379,1988-03-12,2021-06-09,3,1.1977498956249287e-100
91,91,2006047,6047 (1991 TB1),-0.6390745000438633,False,0,1.5446091716732978e-36,165,1,2.034154965045861,0.04474342768781681,1985-03-20,2022-01-14,3,1.1977498956249287e-100
92,92,2006050,6050 Miwablock (1992 AE),-0.6393984309286156,False,0,1.5446091716732978e-36,457,0,2.5387651997667566,0.04618198213648661,1953-02-15,2022-04-01,1,1.1977498956249287e-100
93,93,2006053,6053 (1993 BW3),-0.6394098369456843,False,0,1.5446091716732978e-36,357,1,2.1423983603056063,0.046292042180082246,1976-06-04,2021-05-08,3,1.1977498956249287e-100
94,94,2006063,6063 Jason (1984 KB),-0.6392877925630488,False,0,1.5446091716732978e-36,187,1,1.5385646481755708,0.0468259884488372,1960-10-22,2021-09-08,3,1.1977498956249287e-100
95,95,2006178,6178 (1986 DA),-0.6393060421903588,False,0,1.5446091716732978e-36,173,0,2.417768402672193,0.0472219158152107,1977-07-17,2021-11-01,1,1.1977498956249287e-100
96,96,2006239,6239 Minos (1989 QF),-0.6390003609329165,True,0,1.5446091716732978e-36,232,1,1.6903151460455417,0.044169594577944574,1983-01-14,2021-01-10,3,1.1977498956249287e-100
97,97,2006455,6455 (1992 HE),-0.6395102098958892,False,0,1.5446091716732978e-36,414,1,2.0582505904496657,0.04650711183854715,1989-09-29,2022-04-12,3,1.1977498956249287e-100
98,98,2006456,6456 Golombek (1992 OM),-0.6392889331647557,False,0,1.5446091716732978e-36,306,0,2.6449987049876618,0.0461095535849225,1979-08-22,2021-12-02,1,1.1977498956249287e-100
99,99,2006489,6489 Golevka (1991 JX),-0.6389193782117284,True,0,1.5446091716732978e-36,106,1,2.0653048166345847,0.04689739115887278,1991-04-15,2015-11-03,3,1.1977498956249287e-100
100,100,2006491,6491 (1991 OA),-0.6389764082970721,True,0,1.5446091716732978e-36,30,0,2.1603797714948425,0.046874701666311545,1991-03-18,2019-10-08,1,1.1977498956249287e-100
101,101,2006569,6569 Ondaatje (1993 MO),-0.6392056692401539,False,0,1.5446091716732978e-36,273,0,2.591506509001949,0.04477120732266354,1983-12-29,2022-04-16,1,1.1977498956249287e-100
102,102,2006611,6611 (1993 VW),-0.6391839978077233,False,0,1.5446091716732978e-36,260,1,1.936684208163116,0.04549072593177798,1982-11-15,2021-09-27,3,1.1977498956249287e-100
103,103,2007025,7025 (1993 QA),-0.6390448443994846,False,0,1.5446091716732978e-36,117,1,2.138973680579813,0.04470334499641313,1993-08-16,2021-05-02,3,1.1977498956249287e-100
104,104,2007088,7088 Ishtar (1992 AA),-0.6391874196128439,False,0,1.5446091716732978e-36,238,0,2.4799412224943174,0.04576143236604392,1981-03-03,2021-06-19,1,1.1977498956249287e-100
105,105,2007092,7092 Cadmus (1992 LC),-0.6393961497252019,False,0,1.5446091716732978e-36,198,1,1.8013017441172554,0.047117654948458446,1980-06-02,2020-08-13,3,1.1977498956249287e-100
106,106,2007236,7236 (1987 PA),-0.639022032365347,False,0,1.5446091716732978e-36,40,0,2.46571085999019,0.04707451047392598,1987-08-01,2014-10-12,1,1.1977498956249287e-100
107,107,2007335,7335 (1989 JA),-0.6390984526797077,True,0,1.5446091716732978e-36,104,1,1.9918842233737788,0.045619236198881974,1989-04-06,2022-04-14,3,1.1977498956249287e-100
108,108,2007336,7336 Saunders (1989 RS1),-0.6389650022800034,False,0,1.5446091716732978e-36,147,0,2.454668679780877,0.04641320966013906,1982-10-20,2018-01-15,1,1.1977498956249287e-100
109,109,2007341,7341 (1991 VK),-0.6391725917906544,True,0,1.5446091716732978e-36,418,1,1.9869485528433357,0.04578454158065945,1991-09-12,2022-04-14,3,1.1977498956249287e-100
110,110,2007350,7350 (1993 VA),-0.6391452173496895,False,0,1.5446091716732978e-36,252,1,1.8709874267437268,0.044617532207643834,1963-10-15,2021-07-13,3,1.1977498956249287e-100
111,111,2007358,7358 Oze (1995 YA3),-0.6394258053695806,False,0,1.5446091716732978e-36,418,0,2.275537908500849,0.046310714446779394,1959-12-02,2022-04-01,1,1.1977498956249287e-100
112,112,2007474,7474 (1992 TC),-0.6390562504165533,False,0,1.5446091716732978e-36,76,0,2.299525703144381,0.04482895791290818,1990-08-19,2021-06-07,1,1.1977498956249287e-100
113,113,2007480,7480 Norwan (1994 PC),-0.6391634669769996,False,0,1.5446091716732978e-36,210,0,2.236347739580956,0.04489033471780492,1982-05-01,2021-06-07,1,1.1977498956249287e-100
114,114,2007482,7482 (1994 PC1),-0.6392182158589295,True,0,1.5446091716732978e-36,180,1,1.978584654050558,0.0444650100587293,1974-09-22,2022-03-26,3,1.1977498956249287e-100
115,115,2007753,7753 (1988 XB),-0.6390608128233808,True,0,1.5446091716732978e-36,219,1,1.7879664313898647,0.04504545211641244,1988-12-05,2021-04-02,3,1.1977498956249287e-100
116,116,2007822,7822 (1991 CS),-0.6391349519343277,True,0,1.5446091716732978e-36,286,1,2.027723205217849,0.04351233063521032,1991-01-19,2022-04-15,3,1.1977498956249287e-100
117,117,2007839,7839 (1994 ND),-0.6390790624506908,False,0,1.5446091716732978e-36,43,0,2.1899421400675703,0.04629827621292597,1994-07-03,2019-04-01,1,1.1977498956249287e-100
118,118,2007888,7888 (1993 UC),-0.6393870249115469,False,0,1.5446091716732978e-36,182,1,1.861946674865042,0.04693094789718265,1989-10-28,2021-09-07,3,1.1977498956249287e-100
119,119,2007889,7889 (1994 LX),-0.6393779000978919,False,0,1.5446091716732978e-36,377,1,1.8696314883646639,0.04430057794962595,1977-08-10,2022-04-16,3,1.1977498956249287e-100
120,120,2007977,7977 (1977 QQ5),-0.6393790406995987,False,0,1.5446091716732978e-36,306,0,2.443117171006463,0.04627545101657271,1955-03-23,2022-04-06,1,1.1977498956249287e-100
121,121,2008013,8013 Gordonmoore (1990 KA),-0.639158904570172,False,0,1.5446091716732978e-36,175,0,2.5593981718585015,0.04616658265508265,1951-09-01,2021-11-30,1,1.1977498956249287e-100
122,122,2008014,8014 (1990 MF),-0.6389547368646415,True,0,1.5446091716732978e-36,175,1,2.045962644192538,0.04552152424800589,1990-06-14,2022-04-02,3,1.1977498956249287e-100
123,123,2008034,8034 Akka (1992 LR),-0.6390551098148465,False,0,1.5446091716732978e-36,111,0,2.254010289014955,0.04556189741910402,1992-05-21,2021-02-13,1,1.1977498956249287e-100
124,124,2008035,8035 (1992 TB),-0.639158904570172,False,0,1.5446091716732978e-36,154,1,1.741631353293613,0.04473717711384826,1992-10-02,2021-01-08,3,1.1977498956249287e-100
125,125,2008037,8037 (1993 HO1),-0.6392227782657569,False,0,1.5446091716732978e-36,351,0,2.381859782007581,0.04582907180139116,1979-03-08,2021-06-15,1,1.1977498956249287e-100
126,126,2008176,8176 (1991 WA),-0.6391657481804133,False,0,1.5446091716732978e-36,150,1,1.5745294574715811,0.045572526232640895,1991-12-01,2022-03-01,3,1.1977498956249287e-100
127,127,2008201,8201 (1994 AH2),-0.6392900737664625,False,0,1.5446091716732978e-36,143,1,1.7684095332575258,0.04713297848094684,1981-12-16,2022-01-25,3,1.1977498956249287e-100
128,128,2008507,8507 (1991 CB1),-0.6391303895275001,False,0,1.5446091716732978e-36,96,1,1.6989722481037608,0.045690271050251155,1991-02-15,2022-04-09,3,1.1977498956249287e-100
129,129,2008566,8566 (1996 EN),-0.6392410278930669,True,0,1.5446091716732978e-36,236,1,1.9144413397732347,0.045019048188972066,1983-04-06,2022-04-13,3,1.1977498956249287e-100
130,130,2008567,8567 (1996 HW1),-0.6393596504705819,False,0,1.5446091716732978e-36,540,0,2.33144284060247,0.04598429788521163,1955-05-23,2022-04-12,1,1.1977498956249287e-100
131,131,2008709,8709 Kadlu (1994 JF1),-0.6391611857735857,False,0,1.5446091716732978e-36,65,0,2.640747385592178,0.04670872933807801,1990-09-23,2022-04-07,1,1.1977498956249287e-100
132,132,2009058,9058 (1992 JB),-0.6390596722216739,False,0,1.5446091716732978e-36,94,1,2.1171533514045047,0.04496496183010438,1992-01-09,2021-06-12,3,1.1977498956249287e-100
133,133,2009162,9162 Kwiila (1987 OA),-0.6390562504165533,False,0,1.5446091716732978e-36,148,1,1.6162655350793114,0.04532888053120078,1987-07-18,2021-05-14,3,1.1977498956249287e-100
134,134,2009172,9172 Abhramu (1989 OB),-0.6392102316469813,False,0,1.5446091716732978e-36,88,0,2.4843808914366297,0.047044454314787404,1989-07-07,2022-03-05,1,1.1977498956249287e-100
135,135,2009202,9202 (1993 PB),-0.6392980579784107,False,0,1.5446091716732978e-36,137,1,1.571153199091749,0.04520185212579737,1993-08-13,2021-11-06,3,1.1977498956249287e-100
136,136,2009400,9400 (1994 TW1),-0.6394166805559256,False,0,1.5446091716732978e-36,314,0,2.2618090277652967,0.04695844556481653,1991-03-18,2020-06-12,1,1.1977498956249287e-100
137,137,2009856,9856 (1991 EE),-0.6391748729940683,True,0,1.5446091716732978e-36,188,1,1.8881691409070438,0.046610562001645914,1991-03-13,2021-03-19,3,1.1977498956249287e-100
